subgroup,family,R_V,alpha,wp4_ums_map_Myr,wp4_ums_lo68_Myr,wp4_ums_hi68_Myr,wp5_fitted_posterior_mean_Myr,wp5_fitted_posterior_map_Myr,age_shift_Myr,top_node_Myr,top_node_posterior_weight,top_two_nodes_posterior_weight,turnoff_at_ums_map_Msun,turnoff_at_fitted_Msun,sn_per_k_at_ums_map,sn_per_k_at_fitted,sn_ratio_fitted_over_ums
CygOB2-C,MIST,3.1,2.0,3.1805336883295205,3.095174168158871,3.2471700507093932,3.167360894236389,3.043779386182154,-0.013172794093131657,3.287291659984941,0.09340681237287467,0.1909903756762737,69.04517830438229,69.34314620646751,0.006149937252073065,0.006087702554229723,0.9898804336869675
CygOB2-C,MIST,3.1,2.3,3.1805336883295205,3.095174168158871,3.2471700507093932,3.1644797712906527,3.043779386182154,-0.016053917038867827,3.287291659984941,0.08276400497124753,0.1830445484490484,69.04517830438229,69.40865390167764,0.0016029214154577814,0.0015816475416309465,0.9867280618864529
CygOB2-C,MIST,3.1,2.6,3.1805336883295205,3.095174168158871,3.2471700507093932,3.162216619092677,3.043779386182154,-0.01831706923684351,3.287291659984941,0.0721663952230279,0.17735952609439143,69.04517830438229,69.46019616528916,0.0004187198192812101,0.0004119131032580606,0.9837439841399575
CygOB2-A,MIST,3.5,2.0,4.008667176273027,3.9904046415965477,4.116620867978755,4.055252089603044,4.18161955163707,0.04658491333001713,4.18161955163707,0.16242702244883744,0.2998873739654617,58.552569546137725,57.28846456725415,0.008745336445830311,0.00912218773105204,1.0430916852148562
CygOB2-A,MIST,3.5,2.3,4.008667176273027,3.9904046415965477,4.116620867978755,4.047555818859015,4.18161955163707,0.03888864258598801,4.18161955163707,0.13220964488551648,0.2610383433467519,58.552569546137725,57.494411612229946,0.002350301149183255,0.002443263546335913,1.0395533981613219
CygOB2-A,MIST,3.5,2.6,4.008667176273027,3.9904046415965477,4.116620867978755,4.0401777779311265,3.9892109160847284,0.03151060165809927,4.18161955163707,0.10611575629100273,0.22547046978628188,58.552569546137725,57.6929079913843,0.0006339815192659396,0.000656217934501135,1.0350742325437845
CygOB2-B,MIST,3.5,2.0,3.1805336883295205,3.126059269874793,3.508386017365684,3.594451920983879,3.7057851936694677,0.41391823265435823,3.7057851936694677,0.669316314822509,0.8247863136008993,69.04517830438229,68.39535681478633,0.006149937252073065,0.006287542213934972,1.0223750188370657
CygOB2-B,MIST,3.5,2.3,3.1805336883295205,3.126059269874793,3.508386017365684,3.5425747009001416,3.7057851936694677,0.36204101257062105,3.7057851936694677,0.5418028816268936,0.7230643627076454,69.04517830438229,69.04517830438229,0.0016029214154577814,0.0016029214154577814,1.0
CygOB2-B,MIST,3.5,2.6,3.1805336883295205,3.126059269874793,3.508386017365684,3.4723401423580373,3.7057851936694677,0.2918064540285168,3.7057851936694677,0.38094100344865023,0.5760788124216069,69.04517830438229,69.04517830438229,0.0004187198192812101,0.0004187198192812101,1.0
CygOB2-C,MIST,3.5,2.0,2.00216562158904,1.864703703269293,2.06246849253068,2.043092400411556,2.0608290389461383,0.04092677882251605,2.098776720346625,0.2676741187774943,0.5802573154861064,188.6676116966549,182.4297891090393,0.0,0.0,
