subgroup,family,R_V,age_fit_Myr,age_isochrone_Myr,primary_mass,n_injected,n_query,n_quality,n_cmd_ready,n_membership,n_recovered,query_fraction,quality_fraction,cmd_ready_fraction,membership_fraction,recovery_fraction,recovery_wilson95_lo,recovery_wilson95_hi,recovery_isotonic
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,13.0,400,399,328,328,321,321,0.9975,0.82,0.82,0.8025,0.8025,0.7606869088608799,0.8385579435763133,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,14.0,400,400,327,327,317,317,1.0,0.8175,0.8175,0.7925,0.7925,0.7500686395750451,0.8293664656741417,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,15.0,400,399,325,325,312,312,0.9975,0.8125,0.8125,0.78,0.78,0.7368461708224374,0.8178267504417416,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,16.0,400,398,335,335,327,327,0.995,0.8375,0.8375,0.8175,0.8175,0.7766862383008183,0.8522732349183845,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,17.0,400,398,325,325,314,314,0.995,0.8125,0.8125,0.785,0.785,0.7421286435160355,0.8224491513421466,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,18.0,400,399,319,319,311,311,0.9975,0.7975,0.7975,0.7775,0.7775,0.7342081120211835,0.8155123724459937,0.823173076923077
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,0.5,400,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.009512640599680667,0.0
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,0.75,400,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.009512640599680667,0.0
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,1.0,400,2,0,0,0,0,0.005,0.0,0.0,0.0,0.0,0.0,0.009512640599680667,0.0
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,1.25,400,6,2,2,0,0,0.015,0.005,0.005,0.0,0.0,0.0,0.009512640599680667,0.0
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,1.5,400,9,4,4,0,0,0.0225,0.01,0.01,0.0,0.0,0.0,0.009512640599680667,0.0
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,1.75,400,48,12,12,1,1,0.12,0.03,0.03,0.0025,0.0025,0.00044143642943440895,0.014023640967247855,0.0025
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,2.0,400,110,36,36,8,8,0.275,0.09,0.09,0.02,0.02,0.010168264597915496,0.038963870377777945,0.02
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,2.25,400,239,60,60,18,18,0.5975,0.15,0.15,0.045,0.045,0.028651223384090457,0.07000527956161895,0.045
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,2.5,400,396,149,149,95,95,0.99,0.3725,0.3725,0.2375,0.2375,0.19841684319432581,0.2815772931205065,0.2375
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,2.75,400,400,299,299,234,234,1.0,0.7475,0.7475,0.585,0.585,0.5361280807400124,0.6322547703580419,0.585
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,3.0,400,399,323,323,255,255,0.9975,0.8075,0.8075,0.6375,0.6375,0.589287613174928,0.6830964106601597,0.6375
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,3.25,400,396,333,333,265,265,0.99,0.8325,0.8325,0.6625,0.6625,0.6148092449935679,0.7070991468115359,0.64625
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,3.5,400,397,314,314,252,252,0.9925,0.785,0.785,0.63,0.63,0.5816578813462162,0.6758688320978669,0.64625
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,3.75,400,399,332,332,279,279,0.9975,0.83,0.83,0.6975,0.6975,0.6507811218915531,0.7404613850715731,0.6975
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,4.0,400,397,336,336,293,293,0.9925,0.84,0.84,0.7325,0.7325,0.6870582978814362,0.7735183242397125,0.7325
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,4.25,400,399,362,362,310,310,0.9975,0.905,0.905,0.775,0.775,0.7315721378719925,0.8131959097981832,0.775
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,4.5,400,399,366,366,328,328,0.9975,0.915,0.915,0.82,0.82,0.7793616474280234,0.8545502625881809,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,4.75,400,398,358,358,317,317,0.995,0.895,0.895,0.7925,0.7925,0.7500686395750451,0.8293664656741417,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,5.0,400,399,367,367,330,330,0.9975,0.9175,0.9175,0.825,0.825,0.7847204162241496,0.859096367386058,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,5.25,400,400,365,365,337,337,1.0,0.9125,0.9125,0.8425,0.8425,0.8035644342063322,0.8749194069828867,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,5.5,400,400,357,357,320,320,1.0,0.8925,0.8925,0.8,0.8,0.7580288635115286,0.836263552128663,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,5.75,400,400,359,359,326,326,1.0,0.8975,0.8975,0.815,0.815,0.7740134235872639,0.8499936128349371,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,6.0,400,399,364,364,324,324,0.9975,0.91,0.91,0.81,0.81,0.7686754184345865,0.8454267443936117,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,6.25,400,400,359,359,334,334,1.0,0.8975,0.8975,0.835,0.835,0.7954710126340742,0.8681555181641397,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,6.5,400,400,357,357,323,323,1.0,0.8925,0.8925,0.8075,0.8075,0.766010151768214,0.8431395742629825,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,6.75,400,399,347,347,321,321,0.9975,0.8675,0.8675,0.8025,0.8025,0.7606869088608799,0.8385579435763133,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,7.0,400,400,351,351,326,326,1.0,0.8775,0.8775,0.815,0.815,0.7740134235872639,0.8499936128349371,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,7.25,400,400,345,345,329,329,1.0,0.8625,0.8625,0.8225,0.8225,0.7820396924303856,0.8568246543828204,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,7.5,400,400,351,351,339,339,1.0,0.8775,0.8775,0.8475,0.8475,0.8089753764784815,0.8794133383047404,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,7.75,400,399,340,340,321,321,0.9975,0.85,0.85,0.8025,0.8025,0.7606869088608799,0.8385579435763133,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,8.0,400,399,332,332,315,315,0.9975,0.83,0.83,0.7875,0.7875,0.7447731098540312,0.8247571218011523,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,8.5,400,399,349,349,337,337,0.9975,0.8725,0.8725,0.8425,0.8425,0.8035644342063322,0.8749194069828867,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,9.0,400,397,329,329,308,308,0.9925,0.8225,0.8225,0.77,0.77,0.7263063466698358,0.8085568274063366,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,9.5,400,400,330,330,318,318,1.0,0.825,0.825,0.795,0.795,0.7527197602970003,0.8316677817491883,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,10.0,400,400,313,313,302,302,1.0,0.7825,0.7825,0.755,0.755,0.7105566038330045,0.7945919494611584,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,10.5,400,399,327,327,315,315,0.9975,0.8175,0.8175,0.7875,0.7875,0.7447731098540312,0.8247571218011523,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,11.0,400,400,326,326,312,312,1.0,0.815,0.815,0.78,0.78,0.7368461708224374,0.8178267504417416,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,11.5,400,396,321,321,313,313,0.99,0.8025,0.8025,0.7825,0.7825,0.7394863393745473,0.820139018686633,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,12.0,400,397,297,297,287,287,0.9925,0.7425,0.7425,0.7175,0.7175,0.6714715471495262,0.7593904541896127,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,13.0,400,400,312,312,306,306,1.0,0.78,0.78,0.765,0.765,0.7210486102094291,0.8039096902727403,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,14.0,400,400,314,314,310,310,1.0,0.785,0.785,0.775,0.775,0.7315721378719925,0.8131959097981832,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,15.0,400,398,336,336,327,327,0.995,0.84,0.84,0.8175,0.8175,0.7766862383008183,0.8522732349183845,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,16.0,400,396,321,321,314,314,0.99,0.8025,0.8025,0.785,0.785,0.7421286435160355,0.8224491513421466,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,17.0,400,398,321,321,315,315,0.995,0.8025,0.8025,0.7875,0.7875,0.7447731098540312,0.8247571218011523,0.7983620689655172
CygOB2-C,PARSEC,3.1,2.51188643150958,2.5118864315095824,18.0,400,397,318,318,307,307,0.9925,0.795,0.795,0.7675,0.7675,0.7236764828773743,0.8062342544017964,0.7983620689655172
