version,subgroup,family,R_V,alpha,chi2_p,max_abs_residual,incumbent_trend_p,replacement_trend_p,replacement_T,gate_incumbent,gate_replacement
repair_v1,CygOB2-B,PARSEC,3.1,2.6,0.008631825630862172,2.9509744990523847,0.9571545189504373,0.991,-0.012080110547853923,False,False
repair_v1,CygOB2-B,PARSEC,3.5,2.0,0.00022725133581361084,3.600018375844699,0.7871720116618076,0.31015,-1.0044398474738703,False,False
repair_v1,CygOB2-B,PARSEC,3.5,2.3,0.00011396260753113318,3.62907527207837,0.7871720116618076,0.92615,-0.09223110171427291,False,False
repair_v1,CygOB2-B,PARSEC,3.5,2.6,4.294256260246457e-06,3.9102243435180237,0.7871720116618076,0.3922,0.8555384285619134,False,False
repair_v1,CygOB2-C,MIST,3.0,2.0,0.24621883776175996,2.4618525546632615,0.4684781341107872,0.16295,1.375955930968252,True,True
repair_v1,CygOB2-C,MIST,3.0,2.3,0.012296319319910617,3.588904440845043,0.07239650145772594,0.0077,2.685325604735837,False,False
repair_v1,CygOB2-C,MIST,3.0,2.6,2.2977452324463557e-05,4.87803282546876,0.04156268221574335,4.999750012499375e-05,4.011734416897334,False,False
repair_v1,CygOB2-C,MIST,3.1,2.0,0.17723584783186017,2.461146311785063,0.07239650145772594,0.05075,1.9420730610738866,True,True
repair_v1,CygOB2-C,MIST,3.1,2.3,0.004554680574508936,3.578955921353214,0.07239650145772594,0.00155,3.2477171811686394,False,False
repair_v1,CygOB2-C,MIST,3.1,2.6,3.2657551600165325e-06,4.891175432910801,0.004804664723032055,4.999750012499375e-05,4.586013130987405,False,False
repair_v1,CygOB2-C,MIST,3.5,2.0,0.15531763688553385,1.8684822716279483,0.6227871720116619,0.76175,-0.29797467447739284,True,True
repair_v1,CygOB2-C,MIST,3.5,2.3,0.05061912330575101,2.325758531030099,0.5440932944606415,0.45335,0.7537312744078015,True,True
repair_v1,CygOB2-C,MIST,3.5,2.6,0.0013805886051931502,3.413079373693367,0.4684781341107872,0.0628,1.857925063722549,False,False
repair_v1,CygOB2-C,PARSEC,3.0,2.0,0.13455549656091023,2.005246611420887,0.9571545189504373,0.74265,-0.32711076950342727,True,True
repair_v1,CygOB2-C,PARSEC,3.0,2.3,0.04026898794038904,3.0262254943894904,0.9571545189504373,0.3889,0.8578761014853725,False,False
repair_v1,CygOB2-C,PARSEC,3.0,2.6,0.0009662073233375563,4.220512308339787,0.3287230320699708,0.04025,2.0553523242231364,False,False
repair_v1,CygOB2-C,PARSEC,3.1,2.0,0.24715839317840754,2.2150291993231948,0.9571545189504373,0.6731,0.41496823800624516,True,True
repair_v1,CygOB2-C,PARSEC,3.1,2.3,0.03970009919167857,3.2569828867786406,0.6227871720116619,0.109,1.590744479575122,False,False
repair_v1,CygOB2-C,PARSEC,3.1,2.6,0.0004333818518278186,4.4673745226213075,0.208,0.00505,2.7899160599234802,False,False
repair_v1,CygOB2-C,PARSEC,3.5,2.0,0.24777188515699164,1.6760956641439606,0.8717434402332361,0.9008,-0.12219381082178929,True,True
repair_v1,CygOB2-C,PARSEC,3.5,2.3,0.07234196121661729,2.4969944838616436,0.6227871720116619,0.3592,0.9010093122044182,True,True
repair_v1,CygOB2-C,PARSEC,3.5,2.6,0.001707535313782951,3.5977035526320873,0.208,0.04395,1.9858773103176235,False,False
repair_v2,CygOB2-A,MIST,3.0,2.0,0.022985802061215484,2.75675636276404,0.04156268221574335,0.0016,-3.009600400736027,False,False
repair_v2,CygOB2-A,MIST,3.0,2.3,0.21915296682294264,2.0157322521556122,0.3287230320699708,0.1342,-1.470768769249095,True,True
repair_v2,CygOB2-A,MIST,3.0,2.6,0.18120649667833247,1.5531119045431871,0.8717434402332361,0.99045,-0.01212395750389561,True,True
repair_v2,CygOB2-A,MIST,3.1,2.0,0.07865761580671038,2.196030348012457,0.04156268221574335,0.00595,-2.688880885309398,False,False
repair_v2,CygOB2-A,MIST,3.1,2.3,0.421203840116013,1.4607833707051927,0.3287230320699708,0.2492,-1.1374428665825567,True,True
repair_v2,CygOB2-A,MIST,3.1,2.6,0.23514783691300856,1.5811440642379417,0.6227871720116619,0.7278,0.33363696956462546,True,True
repair_v2,CygOB2-A,MIST,3.5,2.0,0.7708662324583466,1.2202333921824522,0.26570262390670546,0.3578,-0.9063218375400969,True,True
repair_v2,CygOB2-A,MIST,3.5,2.3,0.588497786067392,1.5012451803657252,0.3965014577259473,0.51365,0.6491656283243216,True,True
repair_v2,CygOB2-A,MIST,3.5,2.6,0.033401969501709705,2.5677841248276216,0.01884548104956266,0.03055,2.1488194098571265,False,False
repair_v2,CygOB2-A,PARSEC,3.0,2.0,0.046230252961531916,2.4785150441189825,0.3965014577259473,0.02935,-2.19563553294541,True,False
repair_v2,CygOB2-A,PARSEC,3.0,2.3,0.15524159394691672,1.7104423929705368,0.7040000000000001,0.574,-0.543588892657535,True,True
repair_v2,CygOB2-A,PARSEC,3.0,2.6,0.030613376255786518,2.753793990317846,0.4684781341107872,0.28235,1.0501315610970894,True,True
repair_v2,CygOB2-A,PARSEC,3.1,2.0,0.2348690908364484,2.0087048415228117,0.3965014577259473,0.09485,-1.6668286980373963,True,True
