subgroup,family,R_V,f_bin,indicator,dmu,n_stars,measurable,grid_railed,exclusion_reason,age_map,age_lo68,age_hi68,age_lo90,age_hi90
CygOB2-C,MIST,3.0,0.4,pms,0.0,5,False,True,n_stars_below_15;grid_railed,1.1226645259802346,1.0739224787544115,1.4737695878955077,1.0280977706312122,1.7817412029867705
CygOB2-A,MIST,3.0,0.5,ums,0.0,325,True,False,,4.500388435263084,4.461635615101476,4.508616555493639,4.442184987203544,4.519127178490125
CygOB2-A,MIST,3.0,0.5,pms,0.0,53,True,False,,2.2477603184951818,2.270905462768025,3.2538570299929606,2.2081097441273734,3.435305853653733
CygOB2-B,MIST,3.0,0.5,ums,0.0,328,True,False,,3.570672345572628,3.565146940836227,3.6274310385804793,3.5537615738082993,3.654749010907631
CygOB2-B,MIST,3.0,0.5,pms,0.0,39,True,False,,2.5234807724805743,2.4413941793877334,3.5479004343073957,2.346651514496175,3.6997188453975998
CygOB2-C,MIST,3.0,0.5,ums,0.0,394,True,False,,3.570672345572628,3.5503697517369437,3.5823062217969457,3.5386598378568936,3.59144487509587
CygOB2-C,MIST,3.0,0.5,pms,0.0,5,False,True,n_stars_below_15;grid_railed,1.1226645259802346,1.0862236750950263,1.6182420863134632,1.0339179261826865,2.0634232182931345
CygOB2-A,PARSEC,3.1,0.3,ums,0.0,337,True,False,,4.466835921509632,4.40823056818023,4.4900062223480335,4.376691948698529,4.511578638753166
CygOB2-A,PARSEC,3.1,0.3,pms,0.0,37,True,False,,2.8183829312644537,2.7670458983254935,3.3063531811260023,2.6606157397059707,3.5294190689771985
CygOB2-B,PARSEC,3.1,0.3,ums,0.0,333,True,False,,3.9810717055349722,3.9244996083547248,3.9953518846709684,3.895765199313353,4.011927814940137
CygOB2-B,PARSEC,3.1,0.3,pms,0.0,31,True,False,,3.548133892335755,3.2238105812496394,3.859183104470782,3.0011416600570766,4.054932657842755
CygOB2-C,PARSEC,3.1,0.3,ums,0.0,396,True,False,,3.9810717055349722,3.8977878793624634,3.992087916789537,3.857686275868062,4.010913152547432
CygOB2-C,PARSEC,3.1,0.3,pms,0.0,3,False,False,n_stars_below_15,1.7782794100389228,1.327099831024474,2.488229651772327,1.1399970693824852,3.0125588576271523
CygOB2-A,PARSEC,3.1,0.4,ums,0.0,337,True,False,,4.466835921509632,4.411679708910996,4.49162780911829,4.381335748073914,4.5133844048880185
CygOB2-A,PARSEC,3.1,0.4,ums,0.0602,337,True,False,,3.9810717055349722,3.970666464395947,4.061850537376049,3.953033530181654,4.101612911029569
CygOB2-A,PARSEC,3.1,0.4,ums,-0.0602,337,True,False,,4.466835921509632,4.445157407072863,4.540636998452975,4.422409310140095,4.579859769818707
CygOB2-A,PARSEC,3.1,0.4,pms,0.0,37,True,False,,3.1622776601683795,2.882359995768531,3.5589808781526697,2.7490559224673907,3.7804816183031105
CygOB2-A,PARSEC,3.1,0.4,pms,0.0602,37,True,False,,2.8183829312644537,2.7363337651284145,3.0764605288632336,2.6518247660604315,3.3550148792320638
CygOB2-A,PARSEC,3.1,0.4,pms,-0.0602,37,True,False,,3.548133892335755,2.9849821168120094,3.9440960932722384,2.8046359091814486,4.118667788282757
CygOB2-B,PARSEC,3.1,0.4,ums,0.0,333,True,False,,3.9810717055349722,3.9278813399116586,3.996345570175998,3.9004319813808617,4.012785241536518
CygOB2-B,PARSEC,3.1,0.4,ums,0.0602,333,True,False,,3.548133892335755,3.5287901515729705,3.598982779953182,3.510866946792136,3.6268447977496305
CygOB2-B,PARSEC,3.1,0.4,ums,-0.0602,333,True,False,,3.9810717055349722,3.9576771518040808,4.014136926279194,3.9405921371871324,4.034488527763283
CygOB2-B,PARSEC,3.1,0.4,pms,0.0,31,True,False,,3.548133892335755,3.3074575961195425,3.931548392617101,3.088663628087268,4.115496513574329
CygOB2-B,PARSEC,3.1,0.4,pms,0.0602,31,True,False,,3.1622776601683795,2.8858820043347806,3.568741457680737,2.7593531541850025,3.7447606186143494
CygOB2-B,PARSEC,3.1,0.4,pms,-0.0602,31,True,False,,3.9810717055349722,3.656344001918971,4.212086919932667,3.445581277414835,4.533801808082715
CygOB2-C,PARSEC,3.1,0.4,ums,0.0,396,True,False,,3.9810717055349722,3.9042708055875193,3.99359267645003,3.866638215010804,4.012263372176175
