scope,subgroup,family,R_V,alpha,sf_duration_Myr,explodability,N_SN_mean,N_SN_median,P_at_least_one,P_last_SN_within_100kyr,t_last_median_Myr,N_SN_p2p5,N_SN_p16,N_SN_p50,N_SN_p84,N_SN_p97p5
subgroup,CygOB2-B,PARSEC,3.1,2.6,2.0,all_explode,1.593977,1.0,0.78218,0.141442,0.3432413523886657,0.0,0.0,1.0,3.0,5.0
subgroup,CygOB2-B,PARSEC,3.1,2.6,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.1,2.6,2.0,all_explode,0.1200825,0.0,0.1129805,0.0388265,0.15542889256014059,0.0,0.0,0.0,0.0,1.0
subgroup,CygOB2-C,PARSEC,3.1,2.6,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.5,2.0,0.0,all_explode,10.944634,11.0,0.999964,0.650074,0.06690039047510399,5.0,7.0,11.0,14.0,18.0
subgroup,CygOB2-A,PARSEC,3.5,2.0,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.5,2.0,0.0,all_explode,4.486485,4.0,0.888709,0.632492,0.057646318612465164,0.0,1.0,4.0,8.0,11.0
subgroup,CygOB2-B,PARSEC,3.5,2.0,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.0,0.0,all_explode,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.0,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.5,2.0,1.0,all_explode,10.848922,11.0,0.9999645,0.638866,0.0680391730366976,5.0,7.0,11.0,14.0,18.0
subgroup,CygOB2-A,PARSEC,3.5,2.0,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.5,2.0,1.0,all_explode,4.665448,4.0,0.9533335,0.5937245,0.07014605613207436,0.0,2.0,4.0,8.0,11.0
subgroup,CygOB2-B,PARSEC,3.5,2.0,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.0,1.0,all_explode,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.0,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.5,2.0,2.0,all_explode,10.773576,11.0,0.9999495,0.638688,0.06756986169728485,5.0,7.0,11.0,14.0,18.0
subgroup,CygOB2-A,PARSEC,3.5,2.0,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.5,2.0,2.0,all_explode,5.419783,5.0,0.986749,0.5090805,0.09539047575892923,1.0,3.0,5.0,8.0,11.0
subgroup,CygOB2-B,PARSEC,3.5,2.0,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.0,2.0,all_explode,0.1076055,0.0,0.0976005,0.0721205,0.05715568932625947,0.0,0.0,0.0,0.0,1.0
subgroup,CygOB2-C,PARSEC,3.5,2.0,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.5,2.3,0.0,all_explode,4.0382185,4.0,0.978807,0.354453,0.15369973076058008,1.0,2.0,4.0,6.0,9.0
subgroup,CygOB2-A,PARSEC,3.5,2.3,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.5,2.3,0.0,all_explode,1.5879955,1.0,0.691828,0.313434,0.11473058701004235,0.0,0.0,1.0,3.0,5.0
subgroup,CygOB2-B,PARSEC,3.5,2.3,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.3,0.0,all_explode,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.3,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.5,2.3,1.0,all_explode,4.028072,4.0,0.9790625,0.3447985,0.1594083298900273,1.0,2.0,4.0,6.0,9.0
subgroup,CygOB2-A,PARSEC,3.5,2.3,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.5,2.3,1.0,all_explode,1.6969105,1.0,0.7551945,0.2896595,0.14313947219261536,0.0,0.0,1.0,3.0,5.0
subgroup,CygOB2-B,PARSEC,3.5,2.3,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.3,1.0,all_explode,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.3,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.5,2.3,2.0,all_explode,4.083465,4.0,0.980236,0.3379125,0.1666206745448764,1.0,2.0,4.0,6.0,9.0
subgroup,CygOB2-A,PARSEC,3.5,2.3,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
