version,subgroup,family,R_V,alpha,chi2_p,max_abs_residual,incumbent_trend_p,replacement_trend_p,replacement_T,gate_incumbent,gate_replacement,pi,pi_incumbent,replicate_trend_p_lo68,replicate_trend_p_hi68,replicate_max_abs_lo68,replicate_max_abs_hi68,indeterminate,indeterminate_incumbent
repair_v4,CygOB2-C,MIST,3.1,2.0,0.854941239593398,1.12623487035929,0.04156268221574335,0.44225,0.760973788971731,False,True,1.0,0.79,0.279536,0.6462599999999998,0.5860327542036732,1.0288002834318692,False,True
repair_v4,CygOB2-C,MIST,3.1,2.3,0.19038676899083215,2.2555500159937893,0.004804664723032055,0.0435,2.031586813021341,False,False,0.5775,0.3025,0.018862000000000004,0.15219999999999975,1.1698983425434857,1.8926700279997775,True,True
repair_v4,CygOB2-C,MIST,3.1,2.6,0.002049094764594,3.5410270494205958,0.004804664723032055,0.001,3.301713663085957,False,False,0.0825,0.18,0.00035,0.022879999999999984,1.7358175392993949,2.9042001809837323,True,True
repair_v4,CygOB2-C,MIST,3.5,2.0,0.11130648267924985,2.271224907387514,0.4684781341107872,0.22035,-1.2092576549406064,True,True,1.0,1.0,0.324436,0.7524639999999999,1.123301454350078,1.5661774958215526,False,False
repair_v4,CygOB2-C,MIST,3.5,2.3,0.0744189812095924,1.9652610485944249,0.7871720116618076,0.8068,-0.2439101657193611,True,True,1.0,0.9975,0.44786400000000004,0.9383859999999999,1.060415363594147,1.6330431198566122,False,False
repair_v4,CygOB2-C,MIST,3.5,2.6,0.00637507974924215,2.389053235516694,0.7871720116618076,0.4599,0.739670616095908,False,False,0.8325,0.9425,0.046886000000000004,0.5806,1.3668012971048793,2.1341106859547017,True,True
repair_v4,CygOB2-C,PARSEC,3.0,2.0,0.42846981505555104,1.463067909568462,0.11078717201166179,0.1708,-1.3663509245416068,True,True,0.9825,0.8975,0.10360000000000001,0.38463599999999987,0.917143920337767,1.409859812914673,False,True
repair_v4,CygOB2-C,PARSEC,3.0,2.3,0.42105628523069005,1.3214442861455038,0.8717434402332361,0.8087,-0.2361717404606773,True,True,1.0,0.985,0.458074,0.9128139999999999,0.83874017535713,1.3487953924632858,False,False
repair_v4,CygOB2-C,PARSEC,3.0,2.6,0.07483976782647286,2.463334543536219,0.4684781341107872,0.37925,0.8724841027554461,True,True,0.945,0.965,0.15057600000000002,0.7887139999999999,1.0007732229796655,2.0358325691662196,True,False
repair_v4,CygOB2-C,PARSEC,3.1,2.0,0.6414794400298234,1.237740578657001,0.11078717201166179,0.3495,-0.9342718102278373,True,True,1.0,0.9475,0.277576,0.709764,0.6767904952153173,1.1362519730188025,False,True
repair_v4,CygOB2-C,PARSEC,3.1,2.3,0.49198402689733345,1.5216536991174585,0.8717434402332361,0.84545,0.19286394814788205,True,True,0.9975,0.9675,0.403108,0.8853779999999999,0.6962882618436679,1.2928603366350018,False,False
repair_v4,CygOB2-C,PARSEC,3.1,2.6,0.06081482048677295,2.686201632991338,0.26570262390670546,0.186,1.3122717633869116,True,True,0.85,0.8375,0.054664000000000004,0.6570379999999996,1.009602257424745,2.129403704401439,True,True
repair_v4,CygOB2-C,PARSEC,3.5,2.0,0.31151058380479146,1.926268324755885,0.6227871720116619,0.5019,-0.6646958953465121,True,True,1.0,0.9975,0.603138,0.93369,0.7355851355252246,1.0978554513854202,False,False
repair_v4,CygOB2-C,PARSEC,3.5,2.3,0.14440150019631406,1.60333999179264,0.8717434402332361,0.7916,0.2656231847325639,True,True,0.9975,0.9825,0.262672,0.7464519999999999,0.9615676200785674,1.3374255960278236,False,False
repair_v4,CygOB2-C,PARSEC,3.5,2.6,0.008222897234893176,2.622232791861495,0.4684781341107872,0.23195,1.193768810188536,False,False,0.69,0.8475,0.023062000000000003,0.26889199999999985,1.3044024451541179,2.013503750125124,True,True
repair_v5,CygOB2-A,MIST,3.0,2.0,0.018865848428886167,2.452629129727409,0.04156268221574335,0.00095,-3.239634438594554,False,False,0.0,0.115,0.0002,0.00275,1.9462504799632836,2.5264404732031633,False,True
repair_v5,CygOB2-A,MIST,3.0,2.3,0.20753461029104442,1.762223897704561,0.3287230320699708,0.0715,-1.7979198933033593,True,True,0.5375,0.835,0.016842,0.1062,1.324469491492557,1.8867639226185,True,True
repair_v5,CygOB2-A,MIST,3.0,2.6,0.2412606909178332,1.6633726635506634,0.7040000000000001,0.64725,-0.4496742137611237,True,True,0.955,0.96,0.150062,0.7533339999999998,0.9964250515140595,1.7914759954821617,False,False
repair_v5,CygOB2-A,MIST,3.1,2.0,0.07786064233328951,1.9693569991742002,0.01884548104956266,0.00505,-2.8197002297019034,False,False,0.0,0.13,0.0014,0.009307999999999999,1.6679222327057703,2.1041528243849723,False,True
