family,R_V,alpha,chi2,max_abs_residual,bin2_residual,res_bin0,res_bin1,res_bin2,res_bin3,res_bin4,res_bin5
PARSEC,3.0,3.0,5.862940066726899,1.6625623217137702,0.8984746549289813,-0.31945666545843354,1.6625623217137702,0.8984746549289813,-1.145383150933637,-0.9365248746743254,0.023150014311360278
PARSEC,3.0,3.1,5.495676599908976,1.5831391379707056,0.8498133368828676,-0.4844599784295096,1.5831391379707056,0.8498133368828676,-1.1338597484527762,-0.8334547256084457,0.22842544230008552
PARSEC,3.0,3.2,5.313565621639884,1.5076432069549366,0.8056790472014806,-0.6466782468354778,1.5076432069549366,0.8056790472014806,-1.1194379622127,-0.7303140893878219,0.43216441284717094
PARSEC,3.0,3.3,5.308972551713298,1.4359295064265383,0.7659101604541373,-0.806208797468281,1.4359295064265383,0.7659101604541373,-1.1022009055351656,-0.6271651132533861,0.6342752476962431
PARSEC,3.0,3.4,5.474622384793944,1.3678535772577205,0.7303466561997514,-0.9631493418747047,1.3678535772577205,0.7303466561997514,-1.082226987036985,-0.524059458580677,0.8346750957123042
PARSEC,3.0,3.5,5.803598444779134,1.3032718892346042,0.6988304487040903,-1.1175976616217131,1.3032718892346042,0.6988304487040903,-1.0595895593313525,-0.4210381732204327,1.0332904338369284
PARSEC,3.0,3.6,6.289343206735141,1.2696513064037607,0.6712056839733525,-1.2696513064037607,1.2420421738119993,0.6712056839733525,-1.0343566095854002,-0.31813162328170685,1.2300575635439723
PARSEC,3.0,3.7,6.925661124078555,1.4249230977581295,0.6473190034037765,-1.41940730489061,1.1840237238918316,0.6473190034037765,-1.0065904906765164,-0.2153594798247283,1.4249230977581295
PARSEC,3.0,3.8,7.706723365654142,1.617844432569199,0.6270197738057592,-1.5669618879807086,1.1290776611053508,0.6270197738057592,-0.9763476913777002,-0.11273075563395449,1.617844432569199
PARSEC,3.0,3.9,8.627074338031242,1.8087901976655647,0.6101602839709517,-1.7124102239228751,1.0770671714423334,0.6101602839709517,-0.9436786437704832,-0.01024388704633153,1.8087901976655647
PARSEC,3.0,4.0,9.681639843681097,1.9977406792402193,0.5965959083104299,-1.855846164600539,1.0278577103857554,0.5965959083104299,-0.9086275659281594,0.09211314428824617,1.9977406792402193
PARSEC,3.1,1.8,32.22537850620045,3.387835710043294,3.387835710043294,1.8054129156398744,2.1767047924250695,3.387835710043294,-0.9367946910122972,-2.3634737119540903,-2.5073483759588524
