family,R_V,alpha,sf_duration_Myr,explodability,yield_arm,in_headline_set,N_SN_mean,mean_progenitor_Msun,rate_now_per_Myr,M_al26_Msun,M_fe60_Msun,M_al26_steady_state_Msun,M_fe60_steady_state_Msun,saturation_al26,saturation_fe60,F_1809_ph_cm2_s,F_1173_ph_cm2_s,F_1332_ph_cm2_s,F_fe60_combined_ph_cm2_s
PARSEC,3.1,2.6,1.0,all_explode,LC18_REC,False,3.086,77.61,3.2578,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.1,2.6,2.0,all_explode,LC06_NL,False,3.3022,74.35,3.6247,0.000444040576977968,0.0013710271348677603,0.0009153661016909898,0.006924144749716676,0.4850961556886096,0.19800671193707503,1.9499544901605215e-06,7.257590860436703e-07,7.263402745009626e-07,1.452099360544633e-06
PARSEC,3.1,2.6,2.0,all_explode,LC06_Langer,False,3.3022,74.35,3.6247,0.00013814631931508752,5.8770249967257954e-05,0.0002688689977629448,0.00028462771499691814,0.5138053121203945,0.20648112207869251,6.066540978775683e-07,3.1110283537100964e-08,3.113519667707062e-08,6.224548021417159e-08
PARSEC,3.1,2.6,2.0,all_explode,LC18_REC,False,3.3022,74.35,3.6247,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.5,2.0,0.0,all_explode,LC06_NL,True,15.4329,86.6,20.9055,0.0029607457021994556,0.009410697344205186,0.006381227218620908,0.05478838290342731,0.46397747655181026,0.1717644662152731,1.3001783340430505e-05,4.9815929458046195e-06,4.985582209424882e-06,9.967175155229501e-06
PARSEC,3.5,2.0,0.0,all_explode,LC06_Langer,True,15.4329,86.6,20.9055,0.0007624476949164159,0.00026196846955024147,0.0015873376200206788,0.0015041513437784907,0.4803311439859173,0.17416363761120326,3.348203707717847e-06,1.3867413138499303e-07,1.3878518174045649e-07,2.774593131254495e-07
PARSEC,3.5,2.0,0.0,all_explode,LC18_REC,True,15.4329,86.6,20.9055,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.5,2.0,1.0,all_explode,LC06_NL,True,15.5138,84.81,19.7027,0.0027915991215410225,0.008951932409085046,0.005861149012861958,0.049541641164382914,0.4762887132565674,0.18069511220635298,1.2258995064874837e-05,4.738743762477702e-06,4.7425385522774854e-06,9.481282314755188e-06
PARSEC,3.5,2.0,1.0,all_explode,LC06_Langer,True,15.5138,84.81,19.7027,0.0007351645175234121,0.00026243990012355664,0.0014865932572647002,0.0014288051175251968,0.4945296999907689,0.18367788364176862,3.2283926881362436e-06,1.3892368517814623e-07,1.3903493537648712e-07,2.779586205546333e-07
PARSEC,3.5,2.0,1.0,all_explode,LC18_REC,True,15.5138,84.81,19.7027,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
